profile_id,Wmax_m,W1_m,W2_m,Dmax_m,H1_m,H2_m,B1_deg,B2_deg,SWmax_deg,Aspect_ratio_W_D
2,6951.1869296685045,4451.1676924541325,2500.019237214372,635.3996697849769,4477.385397338435,2601.780805470154,83.5637585011911,73.79169724765113,83.5637585011911,10.93986550547127
3,7549.157711922386,5198.138976128443,2351.018735793943,610.0521076682242,5221.764802500073,2442.3252577390836,84.43043072988799,74.23073883277509,84.43043072988799,12.374611311117677
4,7273.882198640487,5580.813708926484,1693.0684897140036,454.3473875864354,5608.577672592803,1745.1328203716903,84.17670468023505,75.93292187458985,84.17670468023505,16.00951694094796
5,7303.754800240587,5770.735917668405,1533.018882572182,487.30627305477117,5797.812908391209,1602.886689564587,84.4070819770083,73.00670850948282,84.4070819770083,14.988017195952814
6,5901.382919160184,4369.3769240790325,1532.0059950811522,426.5408919480275,4389.371770640293,1591.036464287479,84.52808096848004,74.34340298020143,84.52808096848004,13.835444691383183
8,5624.780612119266,1283.4144759504138,4341.366136168852,432.84233642861057,1346.5209780586622,4372.271755213387,72.35578892213722,83.0705111734271,83.0705111734271,12.994987178309373
9,5762.580796641459,1659.927955179698,4102.6528414617605,422.7893680777888,1699.2523232462615,4141.983677909564,77.50584558312215,81.7424858165042,81.7424858165042,13.629909434196566
11,6141.241932963757,2744.3318396264117,3396.910093337345,488.8157025720391,2768.0170902814493,3457.9049326209815,82.15208048710117,78.79258879349602,82.15208048710117,12.563511975269847
12,6001.836231970063,2513.0145951313407,3488.8216368387225,469.279839607256,2529.9579381631825,3561.3278095550027,82.60386609257706,77.36038790423814,82.60386609257706,12.789461053756426
16,5974.378024256682,4893.10360839286,1081.2744158638213,585.2657798593025,4920.204352762978,1236.8995283984389,83.93519531075168,60.93753025805039,83.93519531075168,10.207974274000641
17,8781.216588063222,7654.847264525043,1126.369323538179,682.893604059572,7678.223977668529,1323.6789929266724,85.48907147845081,58.30816841182614,85.48907147845081,12.858835601712848
18,9501.579740754125,7678.324028593592,1823.255712160533,674.9087619916718,7708.739110729423,1943.4043874558288,84.90817789019715,69.74738091594057,84.90817789019715,14.07831736057884
19,12062.209020604289,7776.679459758465,4285.529560845824,673.5716002799372,7805.047853401803,4338.889075622535,85.11307359012984,81.00478723199949,85.11307359012984,17.907834914048067
20,8342.919561111063,4263.215029886193,4079.7045312248697,612.9629608209718,4291.236730676594,4144.679728346383,83.28179968289223,79.68168531441327,83.28179968289223,13.610805373846691
21,7188.0977759497655,3601.5158890622724,3586.5818868874926,598.4949856277694,3625.581109371997,3670.2479101842014,82.95701689964179,77.30659056421243,82.95701689964179,12.010289055989455
23,8494.048242667732,4095.468287113117,4398.579955554615,487.45248161775544,4119.768132480236,4430.529202882208,83.75017369626775,83.08956612626835,83.75017369626775,17.425387218211952
24,10258.708880830833,5247.15623667522,5011.552644155613,504.0489066311293,5271.162684729791,5036.984966582944,84.52964643329075,84.23989918397734,84.52964643329075,20.35260615759715
25,11161.288563913113,5759.415852252155,5401.872711660958,590.8129120416002,5786.7772293388925,5437.083171734867,84.41913911306942,83.46930697636681,84.41913911306942,18.89140933860841
26,10819.692526859486,5979.9631240254985,4839.729402833987,567.3464115587099,6006.688310778057,4872.997929717768,84.59316822352928,83.30108437143576,84.59316822352928,19.070698794293595
27,11846.71072207787,6733.6704341867235,5113.040287891148,664.1092949903218,6765.587473452714,5156.746569881537,84.43203136915163,82.53472654674846,84.43203136915163,17.838495578126963
28,12324.80494482839,7750.128319277228,4574.67662555116,764.3395406649879,7785.676127324438,4640.168389392143,84.52059395943205,80.3609547591729,84.52059395943205,16.124777391610024
29,14732.08550237498,8748.588208814026,5983.497293560954,790.3105185774839,8784.838797571823,6034.845339895566,84.79291903397483,82.52032295084906,84.79291903397483,18.640882483624203
30,15085.15794401338,8999.122675242948,6086.035268770432,924.030423196642,9043.91696486199,6158.344804002438,84.29291686555253,81.20974793814696,84.29291686555253,16.325390988563935
31,15406.316652884007,8755.861180109121,6650.4554727748855,972.9598149598401,8807.102351690975,6723.947645613057,83.81441304018676,81.5195353576099,83.81441304018676,15.83448403110042
32,13947.059725069656,7531.167952667341,6415.891772402315,1026.4170624527928,7600.25106521046,6498.016290872906,82.26887915789854,80.88105649372507,82.26887915789854,13.588101986283096
33,13235.644823520151,7742.414038221594,5493.230785298558,1069.98984162336,7816.1098870775695,5596.359790763752,82.1258122494661,78.98347852544362,82.1258122494661,12.369878954588376
34,12980.98103906415,8051.68238043595,4929.2986586282,1086.5170713945,8132.418674640305,5040.282568165707,81.90932070217465,77.94765444652332,81.90932070217465,11.947332794691938
35,11406.197135837574,8209.650753835787,3196.5463820017867,964.1092261309127,8293.994336013759,3315.496651217972,81.65348243145651,74.54035616782997,81.65348243145651,11.830814213460053
36,13029.919267019417,9640.943588101183,3388.975678918234,1004.8605046371772,9719.334167318719,3512.9552121838315,82.56561519375946,74.6791055353826,82.56561519375946,12.966893620447449
37,15044.09974108603,10864.735595461309,4179.3641456247215,994.8476568536298,10919.705680839079,4287.441093044314,84.22232955679566,77.09787614203354,84.22232955679566,15.122013543928405
38,16037.167487884048,11164.943041644274,4872.224446239774,1021.7119977567177,11210.856022124934,4978.928865375737,84.81261804308657,78.11655913947482,84.81261804308657,15.696367981481506
39,17306.116646207716,12922.61606527395,4383.500580933764,1055.26690223394,12963.943167847143,4510.400513956568,85.42290986332875,76.37632508146176,85.42290986332875,16.399753095232732
40,15678.154530431319,9765.737766905984,5912.416763525335,1129.0389963871544,9811.610017085468,6040.813187784259,84.37193625039083,78.11405115364816,84.37193625039083,13.886282564730106
41,15676.292743331389,8142.708972429757,7533.583770901631,1365.4110041743934,8231.86985490045,7683.57517382331,81.49588350840746,78.6015326608797,81.49588350840746,11.48100659464817
42,13848.504862137315,7578.168665858598,6270.336196278718,1369.5990405655402,7655.115501553984,6472.991878937914,81.64209858383224,75.43700830582817,81.64209858383224,10.111357011771076
43,12062.859942575797,5043.7310770509575,7019.128865524838,1092.9117377259095,5100.467796254846,7189.9800577786655,80.86489617618186,76.675156614856,80.86489617618186,11.037359675243081
44,11586.012921829199,5450.553589967029,6135.459331862169,1318.479115382117,5534.572301507657,6372.3168801670445,79.49313806835106,73.75414759183535,79.49313806835106,8.787407238127834
45,11878.460324820018,5867.195844448752,6011.2644803712665,1371.2194163507324,5936.127675298409,6290.0727144650755,80.47509013934456,72.07203181616099,80.47509013934456,8.662698458888894
46,11849.15587544262,6605.705697532326,5243.450177910295,1130.2933214262403,6658.5258596516505,5417.725882672362,82.44824736761284,75.16592360865829,82.44824736761284,10.483257443732374
47,13495.980988723808,8820.283123230307,4675.697865493502,1136.2199886760995,8856.63863437891,4856.709626788375,84.48672790039669,74.13831867959317,84.48672790039669,11.877964763187322
48,15558.196402632007,10761.788029170433,4796.408373461574,1285.4020156164624,10807.922111971931,5000.4069626821365,84.5325692444141,73.50112148633697,84.5325692444141,12.103759145865736
49,18649.15087102944,10776.796589232374,7872.354281797067,1204.0880928390598,10834.3905887821,7973.9287570444985,84.07233642635826,80.83243896531485,84.07233642635826,15.488194744171524
50,19444.716702292542,10517.41342922579,8927.303273066755,1013.0897596774166,10581.570621608947,8971.107180738249,83.62664707373703,84.28406985904917,84.28406985904917,19.193478679010674
51,21538.597470741664,11145.203202088594,10393.39426865307,1026.9274806018566,11206.742572277497,10431.504793144119,83.93949789650586,85.05118127297993,85.05118127297993,20.97382519953447
52,23979.96368937307,12760.854913399256,11219.108775973813,1106.002460207821,12822.727896082453,11261.156814487142,84.32217822921376,85.00585050069235,85.00585050069235,21.68165492585538
53,25536.97805878097,12738.478058017125,12798.500000763845,1056.8805889766854,12794.127105771868,12831.604410053556,84.61527515012504,85.84441541976807,85.84441541976807,24.162595401157766
54,27685.187628490712,12371.52088403985,15313.66674445086,1058.883566733014,12432.132748291919,15337.341991953659,84.27877736100656,86.74033401558444,86.74033401558444,26.14563914133463
55,26190.731311269967,13787.705166406347,12403.02614486362,1024.0758741269292,13839.026061814202,12433.793344898308,85.00775017233798,85.91778385463388,85.91778385463388,25.574991046047973
